,,,Количество списано,,,,,,Общая сумма,,,,,
Наименование,Ед. Изм.,Цена,Галмарт Форум,Галмарт Мега,Галмарт Достык,Столичный,Склад,Грязь,Галмарт Форум,Галмарт Мега,Галмарт Достык,Столичный,Склад,Грязь
"Ромейн, упак",упак,3 300,,,,,,,0,0,0,0,0,0
"Салат Фризе, упак",упак,3 500,,,,,,,0,0,0,0,0,0
Стебли сельдерея,кг,1 250,"1,29",,,,,,"1612,5",0,0,0,0,0
Яблоки Чемпион ,кг,550,,,,,,,0,0,0,0,0,0
Яблоки Гала,кг,500,,,"0,55","0,16",,,0,0,275,80,0,0
Яблоки Семеренко,кг,,,,,,,,0,0,0,0,0,0
Яблоки Фуджи,кг,,,,,,,,0,0,0,0,0,0
Картофель молодой,кг,230,,,,,,,0,0,0,0,0,0
Лола росса,кг,700,,,,,,,0,0,0,0,0,0
Персик мохнатый,кг,1 200,,,"2,65",,"0,33",,0,0,3180,0,396,0
Капуста молодая,кг,150,,,,,,,0,0,0,0,0,0
Свекла молодая,кг,0,,,,,,,0,0,0,0,0,0
"Сок Яблочный прямого отжима 1,5л",упак,900,,,,,,,0,0,0,0,0,0
Помидоры коктейльные,кг,1 500,,,,,,,0,0,0,0,0,0
Свекла с ботвой,пуч ,,,,,,,,0,0,0,0,0,0
Арбуз Иран,кг,300,,,,,,,0,0,0,0,0,0
Киви весовой,кг,1 400,,,"1,34",,,,0,0,1876,0,0,0
Абрикос Китай,кг,,,,,,,,0,0,0,0,0,0
Джандо,кг,1 900,,,,,,,0,0,0,0,0,0
Морковь с ботвой шт,шт,,,,,,,,0,0,0,0,0,0
Фасоль стручковая,кг,2 500,,,,,,,0,0,0,0,0,0
Клубника,кг,2 300,,,,,,,0,0,0,0,0,0
Черешня Узбекистан,кг,1 600,,,,,"0,55",,0,0,0,0,880,0
Ананас Китай,шт,,,,,,,,0,0,0,0,0,0
Помидоры Новичок желтые,кг,,,,,,,,0,0,0,0,0,0
Помидоры черри черный принц,кг,1 500,,,,,,,0,0,0,0,0,0
Картофель Египет,кг,,,,,,,,0,0,0,0,0,0
Апельсин Иран,кг,600,,,,"1,04","3,78",,0,0,0,624,2268,0
"Голубика (125 гр), упак",упак,1 250,,,,,,,0,0,0,0,0,0
Помидоры красные Узбекистан,кг,0,,,,,,,0,0,0,0,0,0
Гранат Иран,кг,,,,,,,,0,0,0,0,0,0
Манго Бразилия,шт,,,,,,,,0,0,0,0,0,0
Помидоры черри красные тепличные,кг,0,,,,,,,0,0,0,0,0,0
Лук репчатый крупный,кг,0,,,,,,,0,0,0,0,0,0
Дыня Торпеда ,кг,300,,,,,,,0,0,0,0,0,0
Урюк Узбекистан,кг,,,,,,,,0,0,0,0,0,0
"Лук репчатый мелкий, в сетке 2кг",упак,230,,,,,,,0,0,0,0,0,0
Яблоки Белый налив,кг,0,,,,,,,0,0,0,0,0,0
Яблоки Столовка,кг,600,,,,,,,0,0,0,0,0,0
Абрикос Лола,кг,0,,,,,,,0,0,0,0,0,0
Абрикос Лола гладкий,кг,600,,,,,,,0,0,0,0,0,0
Абрикос Шалах,кг,600,,,,,,,0,0,0,0,0,0
Персик инжир,кг,1 200,,,"0,85","0,22",,,0,0,1020,264,0,0
Малина,кг,2 600,,,,,"0,1",,0,0,0,0,260,0
Корень сельдерея,кг,6 000,,,,,,,0,0,0,0,0,0
"Лук Шалот (250г), упак",упак,1 600,,,,,,,0,0,0,0,0,0
"Смородина (125г), упак",упак,2 800,,,,,,,0,0,0,0,0,0
Яблоки Глостер,кг,"500,00",,,"1,6",,,,0,0,800,0,0,0
Яблоки Mutsy,кг,"500,00",,,,,,,0,0,0,0,0,0
Яблоки Цыганка,кг,"500,00",,,,,,,0,0,0,0,0,0
Дыня Лимонка,кг,300,,,,,"1,98",,0,0,0,0,594,0
Груша Аббат,,,,,,,,,0,0,0,0,0,0
,,,,,,,,,"33436,2",0,0,12398,#VALUE!,11408
